Speed,SteerAngle,YawRate,TurnRadius,GearPos
13.954241,-2.250000,0.623151,1271.274414,3
13.954241,-2.250000,0.623151,1274.285522,3
13.938615,-2.250000,0.500962,1379.118774,3
13.860483,-2.250000,0.500962,1451.704102,3
13.876110,-2.250000,0.500962,1496.754272,3
14.001120,-2.250000,0.500962,1543.623413,3
13.829231,-2.125000,0.378773,1698.082153,3
13.844857,-2.125000,0.500962,1845.128296,3
13.860483,-2.125000,0.378773,1924.103271,3
13.813605,-2.000000,0.623151,1784.351685,3
13.907362,-2.000000,0.623151,1553.210938,3
13.844857,-1.937500,0.623151,1430.511475,3
13.844857,-1.812500,0.623151,1366.775269,3
13.860483,-1.500000,0.378773,1442.805786,3
13.860483,-1.250000,0.378773,1635.164185,3
13.844857,-0.750000,0.378773,1781.085205,3
13.844857,0.000000,0.256584,2119.759521,3
13.829231,0.750000,0.012206,2790.941895,3
13.829231,1.250000,0.012206,4363.533203,3
13.813605,1.687500,-0.109983,11037.616211,3
13.829231,1.687500,-0.232172,-12678.079102,3
13.797978,1.750000,-0.476550,-3623.797607,3
13.782352,1.875000,-0.476550,-2505.159180,3
13.782352,1.750000,-0.476550,-1874.251587,3
13.782352,1.750000,-0.476550,-1785.117188,3
13.797978,1.687500,-0.476550,-1736.702881,3
13.797978,1.562500,-0.598739,-1552.671753,3
13.782352,1.500000,-0.476550,-1591.003540,3
13.751100,1.375000,-0.476550,-1610.345459,3
13.766726,1.375000,-0.476550,-1629.930908,3
13.751100,1.375000,-0.476550,-1636.298584,3
13.735474,1.375000,-0.354361,-1813.927856,3
13.751100,1.375000,-0.354361,-1950.004761,3
13.735474,1.375000,-0.476550,-2039.479004,3
13.735474,1.375000,-0.354361,-2105.429932,3
13.719848,1.375000,-0.354361,-2144.792725,3
13.719848,1.375000,-0.476550,-1928.089966,3
13.704221,1.250000,-0.354361,-2022.630737,3
13.704221,1.250000,-0.354361,-2092.383301,3
13.704221,1.250000,-0.354361,-2131.982910,3
13.704221,1.250000,-0.354361,-2165.745117,3
13.672969,1.250000,-0.354361,-2179.215820,3
13.688595,1.250000,-0.354361,-2193.424561,3
13.657342,1.187500,-0.354361,-2195.790283,3
13.657342,1.187500,-0.354361,-2200.437744,3
13.657342,1.187500,-0.476550,-1952.677246,3
13.641716,1.187500,-0.354361,-2038.413086,3
13.704221,1.187500,-0.232172,-2368.396484,3
13.563585,1.062500,-0.232172,-2661.207031,3
13.626090,1.062500,-0.354361,-2901.533936,3
